product_id,name,category,price,description,rating,combined_text
2756,Điện thoại SONY XPERIA Z5 ram 3G-32G máy chơi game mượt mà,Khác,0,,0,Điện thoại SONY XPERIA Z5 ram 3G-32G máy chơi game mượt mà Khác 
2757,Điện thoại SONY XPERIA Z5 ram 3G-32G máy chơi game mượt mà,Khác,0,,0,Điện thoại SONY XPERIA Z5 ram 3G-32G máy chơi game mượt mà Khác 
2758,VỎ KHÔNG PHÍM  NOKIA  106  MÀU ĐEN,Khác,0,,0,VỎ KHÔNG PHÍM  NOKIA  106  MÀU ĐEN Khác 
2759,"Kệ Dán Tường Để Remote, Đồ Dùng/ Giá Đỡ Sạc Điện Thoại - Có Móc Treo Giữ Dây Điện - GIAO MÀU NGẪU NHIÊN",Khác,0,,0,"Kệ Dán Tường Để Remote, Đồ Dùng/ Giá Đỡ Sạc Điện Thoại - Có Móc Treo Giữ Dây Điện - GIAO MÀU NGẪU NHIÊN Khác "
2760,Điều khiển điều hòa 2 chiều samsung,Khác,0,,0,Điều khiển điều hòa 2 chiều samsung Khác 
2761,Phím Nokia 1202 xịn và thường.,Khác,0,,0,Phím Nokia 1202 xịn và thường. Khác 
2762,Điện Thoại Nokia 7250i Chính Hãng Bảo Hành 12 tháng,Khác,0,,0,Điện Thoại Nokia 7250i Chính Hãng Bảo Hành 12 tháng Khác 
2763,Điện thoại 4 sim 4 sóng online landrover k999 pin khủng giá rẻ,Khác,0,,0,Điện thoại 4 sim 4 sóng online landrover k999 pin khủng giá rẻ Khác 
2764,"Điện thoại Sony Xperia Z5 Premium nguyên zin đủ màu, 3/32G, màn 5.5"" cày game mượt",Khác,0,,0,"Điện thoại Sony Xperia Z5 Premium nguyên zin đủ màu, 3/32G, màn 5.5"" cày game mượt Khác "
2765,"Điện thoại LG V20 ram 4G rom 64G Mới, máy Chính Hãng, Chiến Game nặng mượt",Khác,0,,0,"Điện thoại LG V20 ram 4G rom 64G Mới, máy Chính Hãng, Chiến Game nặng mượt Khác "
2766,"Điện thoại Xiaomi redmi 4x 2sim 32G pin 4100mah, Chính hãng, có Tiếng Việt",Khác,0,,0,"Điện thoại Xiaomi redmi 4x 2sim 32G pin 4100mah, Chính hãng, có Tiếng Việt Khác "
2767,[BÁN LẺ = GIÁ SỈ] điện thoại Sony Z5 - Sony Xperia Z5 Premium  2sim ram 3G/32G mới Chính Hãng,Khác,0,,0,[BÁN LẺ = GIÁ SỈ] điện thoại Sony Z5 - Sony Xperia Z5 Premium  2sim ram 3G/32G mới Chính Hãng Khác 
2768,Điện thoại sony xperia z5 bảo hanh 12 tháng,Khác,0,,0,Điện thoại sony xperia z5 bảo hanh 12 tháng Khác 
2769,Điện Thoại Sony Xperia Z5 ram 3G rom 32G có Zalo Tiktok Youtube chiến Game nặng mượt,Khác,0,,0,Điện Thoại Sony Xperia Z5 ram 3G rom 32G có Zalo Tiktok Youtube chiến Game nặng mượt Khác 
2770,Điện thoại M3 Pro Cần bán điện thoại di động nguyên bản (6/128GB) mới để bán điện thoại chơi game 5G nguyên bản,Khác,0,,0,Điện thoại M3 Pro Cần bán điện thoại di động nguyên bản (6/128GB) mới để bán điện thoại chơi game 5G nguyên bản Khác 
2771,Điện Thoại Tecno Spark 7T 4GB/64GB - Hàng Chính Hãng,Khác,0,,0,Điện Thoại Tecno Spark 7T 4GB/64GB - Hàng Chính Hãng Khác 
2772,ĐIỆN THOẠI NOKIA C2 00 – 2 SIM ZIN CHÍNH HÃNG VỎ ĐẸP SIÊU BỀN-BẢO HÀNH 6 THÁNG,Khác,0,,0,ĐIỆN THOẠI NOKIA C2 00 – 2 SIM ZIN CHÍNH HÃNG VỎ ĐẸP SIÊU BỀN-BẢO HÀNH 6 THÁNG Khác 
2773,Điện Thoại Nokia N95 2G Nắp Trượt Chính Hãng,Khác,0,,0,Điện Thoại Nokia N95 2G Nắp Trượt Chính Hãng Khác 
2774,Điện thoại Nokia 1280 chính hãng – CHUẦN - PIN TRÂU -GIÁ RẺ,Khác,0,,0,Điện thoại Nokia 1280 chính hãng – CHUẦN - PIN TRÂU -GIÁ RẺ Khác 
