antecedents_str,consequents_str,support,confidence,lift
"kém, tiền, đáng",sản_phẩm,0.010040485829959514,0.8157894736842105,6.550715214564369
"giao, thời_gian","hàng, hóa",0.017165991902834007,0.9724770642201835,6.52013666836008
"kém, đáng",sản_phẩm,0.010040485829959514,0.8051948051948052,6.465640990998598
"hàng, hóa, sản_phẩm",chất_lượng,0.01117408906882591,0.5609756097560975,6.426761391918186
"chậm, giao","hàng, hóa",0.013765182186234818,0.9550561797752809,6.403335407288121
phục_vụ,cửa_hàng,0.020404858299595142,0.8936170212765957,6.379289140327143
"hóa, sản_phẩm",chất_lượng,0.011497975708502025,0.5546875,6.3547222866419295
"chất_lượng, hàng, kém",hóa,0.010526315789473684,1.0,6.333333333333334
"chậm, giao, hàng",hóa,0.013765182186234818,1.0,6.333333333333334
"chất_lượng, hàng, sản_phẩm",hóa,0.01117408906882591,1.0,6.333333333333334
"hàng, kém",hóa,0.01651821862348178,1.0,6.333333333333334
"chậm, hàng",hóa,0.013927125506072875,1.0,6.333333333333334
"hàng, sản_phẩm",chất_lượng,0.01117408906882591,0.5519999999999999,6.323933209647495
"hình, hóa",hàng,0.01068825910931174,1.0,6.2817904374364195
"chậm, hóa",hàng,0.013927125506072875,1.0,6.2817904374364195
"giao, hóa, thời_gian",hàng,0.017165991902834007,1.0,6.2817904374364195
"chậm, giao, hóa",hàng,0.013765182186234818,1.0,6.2817904374364195
"hàng, thời_gian",hóa,0.017651821862348177,0.990909090909091,6.275757575757576
"giao, hàng, thời_gian",hóa,0.017165991902834007,0.9906542056074766,6.274143302180685
"giống, hàng",hóa,0.011497975708502025,0.9861111111111112,6.245370370370371
chậm,giao,0.014412955465587044,0.8640776699029127,6.240560949298813
"hàng, sản_phẩm",hóa,0.019919028340080972,0.984,6.232
"hóa, thời_gian",hàng,0.017651821862348177,0.990909090909091,6.224683251641543
"giao, hóa, sản_phẩm",hàng,0.011659919028340082,0.9863013698630138,6.195738513635921
"hóa, áo",hàng,0.011659919028340082,0.9863013698630138,6.195738513635921
"giống, hóa",hàng,0.011497975708502025,0.9861111111111112,6.19454334802758
"hóa, đúng",hàng,0.01068825910931174,0.9850746268656716,6.188032371206025
"giao, thời_gian",hàng,0.017327935222672064,0.981651376146789,6.166528227575201
"giao, hàng, sản_phẩm",hóa,0.011659919028340082,0.972972972972973,6.162162162162163
"giao, thời_gian",hóa,0.017165991902834007,0.9724770642201835,6.159021406727829
"chất_lượng, hàng",hóa,0.017165991902834007,0.9724770642201835,6.159021406727829
"hóa, quá",hàng,0.015546558704453442,0.9795918367346939,6.153590632590778
"hàng, đúng",hóa,0.01068825910931174,0.9705882352941176,6.147058823529412
"hàng, nhận",hóa,0.015546558704453442,0.9696969696969697,6.141414141414142
"cửa_hàng, giao, hóa",hàng,0.01862348178137652,0.9745762711864407,6.122083900891426
"giao, hóa",hàng,0.06574898785425101,0.973621103117506,6.116083735249847
"chất_lượng, hóa",hàng,0.017165991902834007,0.9724770642201835,6.108897122644592
"kém, tiền",sản_phẩm,0.011821862348178138,0.7604166666666666,6.106076614651061
"chất_lượng, hóa, sản_phẩm",hàng,0.01117408906882591,0.9718309859154929,6.104838594128351
"chất_lượng, hóa, kém",hàng,0.010526315789473684,0.9701492537313433,6.094274304975631
thời_gian,"hàng, hóa",0.017651821862348177,0.9083333333333332,6.090074194715887
đen,màu,0.011983805668016195,0.5967741935483871,6.060987903225807
"hàng, hình",hóa,0.01068825910931174,0.9565217391304348,6.057971014492754
"chậm, giao",hóa,0.013765182186234818,0.9550561797752809,6.04868913857678
"hóa, tiền",hàng,0.012145748987854251,0.9615384615384616,6.040183112919634
"hóa, sản_phẩm",hàng,0.019919028340080972,0.9609375,6.0364079984740595
